#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARPC3	DOCK7	9606.ENSP00000228825	9606.ENSP00000251157	0	0	0	0	0	0.409	0	0	0.408
ARPC3	COTL1	9606.ENSP00000228825	9606.ENSP00000262428	0	0	0	0	0.205	0.056	0	0.291	0.421
ARPC3	RHOA	9606.ENSP00000228825	9606.ENSP00000400175	0	0	0	0	0.207	0	0	0.348	0.462
ARPC3	YWHAH	9606.ENSP00000228825	9606.ENSP00000248975	0	0	0	0	0.468	0	0	0.046	0.470
ARPC3	MYO6	9606.ENSP00000228825	9606.ENSP00000358994	0	0	0	0	0	0.181	0.360	0.081	0.476
ARPC3	CFL1	9606.ENSP00000228825	9606.ENSP00000432660	0	0	0	0	0.107	0.056	0	0.465	0.510
ARPC3	DOCK8	9606.ENSP00000228825	9606.ENSP00000394888	0	0	0	0	0.059	0.674	0	0	0.680
ARPC3	CDC42	9606.ENSP00000228825	9606.ENSP00000383118	0	0	0	0	0.535	0	0.600	0.421	0.883
ARPC3	FCGR2A	9606.ENSP00000228825	9606.ENSP00000271450	0	0	0	0	0	0	0.900	0	0.900
ARPC3	FCGR1A	9606.ENSP00000228825	9606.ENSP00000358165	0	0	0	0	0	0	0.900	0.060	0.901
ARPC3	GAB1	9606.ENSP00000228825	9606.ENSP00000262995	0	0	0	0	0	0	0.900	0.066	0.902
ARPC3	NCK2	9606.ENSP00000228825	9606.ENSP00000233154	0	0	0	0	0	0	0.900	0.101	0.906
ARPC3	ARPC5	9606.ENSP00000228825	9606.ENSP00000294742	0	0	0	0	0.954	0.998	0.900	0.962	0.999
ARPC5	NCK2	9606.ENSP00000294742	9606.ENSP00000233154	0	0	0	0	0	0	0.900	0.115	0.907
ARPC5	COTL1	9606.ENSP00000294742	9606.ENSP00000262428	0	0	0	0	0.271	0	0	0.494	0.615
ARPC5	GAB1	9606.ENSP00000294742	9606.ENSP00000262995	0	0	0	0	0	0	0.900	0.084	0.904
