gene_standard_name,gene_name,gene_primary_dbid,cross_ref_id,homolog_standard_name,homolog_systematic_name,homolog_name,disease_identifier,disease_name,data_source,homolog_algorithm,homolog_algorithm_matches,homolog_algorithm_attempts
AADAT,aminoadipate aminotransferase,51166,611754,ARO8,YGL202W,AROmatic amino acid requiring,,,DiOPT,OrthoInspector|OrthoFinder|InParanoid|OMA|SonicParanoid,5,9
AADAT,aminoadipate aminotransferase,51166,611754,ARO9,YHR137W,AROmatic amino acid requiring,,,DiOPT,OrthoInspector|Ensembl Compara|OrthoFinder,3,9
AASS,aminoadipate-semialdehyde synthase,10157,605113,LYS9,YNR050C,LYSine requiring,268700,SACCHAROPINURIA,DiOPT,OrthoInspector|SonicParanoid|PANTHER,3,9
AASS,aminoadipate-semialdehyde synthase,10157,605113,LYS9,YNR050C,LYSine requiring,238700,"HYPERLYSINEMIA, TYPE I",DiOPT,OrthoInspector|SonicParanoid|PANTHER,3,9
ABAT,4-aminobutyrate aminotransferase,18,137150,UGA1,YGR019W,Utilization of GAba,613163,GABA-TRANSAMINASE DEFICIENCY,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ABCB11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",8647,603201,STE6,YKL209C,STErile,605479,"CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2; BRIC2",DiOPT,InParanoid|OrthoInspector|PhylomeDB|SonicParanoid,4,9
ABCB11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",8647,603201,STE6,YKL209C,STErile,601847,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 2; PFIC2",DiOPT,InParanoid|OrthoInspector|PhylomeDB|SonicParanoid,4,9
ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",5244,171060,STE6,YKL209C,STErile,602347,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 3; PFIC3",DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",5244,171060,STE6,YKL209C,STErile,614972,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3; ICP3",DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",5244,171060,STE6,YKL209C,STErile,600803,GALLBLADDER DISEASE 1; GBD1,DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
ABCC9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",10060,601439,YBT1,YLL048C,Yeast Bile Transporter,608569,"CARDIOMYOPATHY, DILATED, 1O; CMD1O",DiOPT,PhylomeDB|Ensembl Compara,2,9
ABCC9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",10060,601439,YBT1,YLL048C,Yeast Bile Transporter,239850,CANTU SYNDROME,DiOPT,PhylomeDB|Ensembl Compara,2,9
ABCC9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",10060,601439,YBT1,YLL048C,Yeast Bile Transporter,614050,"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12",DiOPT,PhylomeDB|Ensembl Compara,2,9
ABCE1,"ATP-binding cassette, sub-family E (OABP), member 1",6059,601213,RLI1,YDR091C,RNase L Inhibitor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ABCF2,"ATP-binding cassette, sub-family F (GCN20), member 2",10061,612510,ARB1,YER036C,ATP-binding cassette protein involved in Ribosome Biogenesis,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
ACTB,"actin, beta",60,102630,ACT1,YFL039C,ACTin,243310,BARAITSER-WINTER SYNDROME 1; BRWS1,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ACTB,"actin, beta",60,102630,ACT1,YFL039C,ACTin,607371,"DYSTONIA, JUVENILE-ONSET; DJO",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ACTG2,"actin, gamma 2, smooth muscle, enteric",72,102545,ACT1,YFL039C,ACTin,155310,VISCERAL MYOPATHY; VSCM,DiOPT,OrthoInspector|PhylomeDB|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,7,9
ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)",10121,605143,ARP1,YHR129C,Actin-Related Protein,,,DiOPT,OMA|PANTHER|OrthoFinder,3,9
ACTR2,ARP2 actin-related protein 2 homolog (yeast),10097,604221,ARP2,YDL029W,Actin-Related Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
ACTR3,ARP3 actin-related protein 3 homolog (yeast),10096,604222,ARP3,YJR065C,Actin-Related Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ADA,adenosine deaminase,100,608958,AAH1,YNL141W,Adenine AminoHydrolase,102700,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",DiOPT,OrthoInspector|InParanoid|Hieranoid|OMA|SonicParanoid,5,9
ADHFE1,"alcohol dehydrogenase, iron containing, 1",137872,611083,ADH4,YGL256W,Alcohol DeHydrogenase,,,DiOPT,OrthoInspector|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,5,9
AEN,apoptosis enhancing nuclease,64782,610177,REX4,YOL080C,Rna EXonuclease,,,DiOPT,InParanoid|PANTHER|OrthoFinder,3,9
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,10554,603099,SLC1,YDL052C,SphingoLipid Compensation,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
